16,Code Geass Lelouch of the Rebellion - 1x22 - Bloodstained Euphy [1080p][x265][bk].mkv,Code Geass Lelouch Of The Rebellion - s01e22 - Bloodstained Euphy.mkv
17,Code Geass Lelouch of the Rebellion - 1x04 - His Name Is Zero [1080p][x265][bk].mkv,Code Geass Lelouch Of The Rebellion - s01e04 - His Name Is Zero.mkv
18,Code Geass Lelouch of the Rebellion - 1x02 - The White Knight Awakens [1080p][x265][bk].mkv,Code Geass Lelouch Of The Rebellion - s01e02 - The White Knight Awakens.mkv
19,"Code Geass Lelouch of the Rebellion - 1x18 - I Order You, Suzaku Kururugi [1080p][x265][bk].mkv","Code Geass Lelouch Of The Rebellion - s01e18 - I Order You, Suzaku Kururugi.mkv"
20,Code Geass Lelouch of the Rebellion - 1x19 - Island of the Gods.mkv,Code Geass Lelouch Of The Rebellion - s01e19 - Island Of The Gods.mkv
21,Code Geass Lelouch of the Rebellion - 1x15 - Cheering Mao [1080p][x265][bk].mkv,Code Geass Lelouch Of The Rebellion - s01e15 - Cheering Mao.mkv
22,Code Geass Lelouch of the Rebellion - 1x03 - The False Classmate [1080p][x265][bk].mkv,Code Geass Lelouch Of The Rebellion - s01e03 - The False Classmate.mkv
23,Code Geass Lelouch of the Rebellion - 1x14 - Geass vs. Geass [1080p][x265][bk].mkv,Code Geass Lelouch Of The Rebellion - s01e14 - Geass Vs Geass.mkv
24,Code Geass Lelouch of the Rebellion - 1x25 - Zero [1080p][x265][bk].mkv,Code Geass Lelouch Of The Rebellion - s01e25 - Zero.mkv
0,Cowboy Bebop 05 - Ballad of Fallen Angels.mkv,Cowboy Bebop - s01e05 - Ballad Of Fallen Angels.mkv
1,Cowboy Bebop 23 - Brain Scratch.mkv,Cowboy Bebop - s01e23 - Brain Scratch.mkv
2,Cowboy Bebop 13 - Jupiter Jazz (Part 2).mkv,Cowboy Bebop - s01e13 - Jupiter Jazz.mkv
3,Cowboy Bebop 06 - Sympathy for the Devil.mkv,Cowboy Bebop - s01e06 - Sympathy For The Devil.mkv
4,Cowboy Bebop 18 - Speak Like a Child.mkv,Cowboy Bebop - s01e18 - Speak Like A Child.mkv
5,Cowboy Bebop 01 - Asteroid Blues.mkv,Cowboy Bebop - s01e01 - Asteroid Blues.mkv
6,Cowboy Bebop 26 - The Real Folk Blues (Part 2).mkv,Cowboy Bebop - s01e26 - The Real Folk Blues.mkv
7,Cowboy Bebop 10 - Ganymede Elegy.mkv,Cowboy Bebop - s01e10 - Ganymede Elegy.mkv
8,Cowboy Bebop 09 - Jamming with Edward.mkv,Cowboy Bebop - s01e09 - Jamming With Edward.mkv
9,Cowboy Bebop 03 - Honkey Tonk Women.mkv,Cowboy Bebop - s01e03 - Honkey Tonk Women.mkv
10,Cowboy Bebop 15 - My Funny Valentine.mkv,Cowboy Bebop - s01e15 - My Funny Valentine.mkv
11,Cowboy Bebop 20 - Pierrot Le Fou.mkv,Cowboy Bebop - s01e20 - Pierrot Le Fou.mkv
12,Cowboy Bebop 14 - Bohemian Rhapsody.mkv,Cowboy Bebop - s01e14 - Bohemian Rhapsody.mkv
13,Cowboy Bebop 21 - Boogie Woogie Feng Shui.mkv,Cowboy Bebop - s01e21 - Boogie Woogie Feng Shui.mkv
14,Cowboy Bebop 24 - Hard Luck Woman.mkv,Cowboy Bebop - s01e24 - Hard Luck Woman.mkv
15,Cowboy Bebop 16 - Black Dog Serenade.mkv,Cowboy Bebop - s01e16 - Black Dog Serenade.mkv
16,Cowboy Bebop 07 - Heavy Metal Queen.mkv,Cowboy Bebop - s01e07 - Heavy Metal Queen.mkv
17,Cowboy Bebop 25 - The Real Folk Blues (Part 1).mkv,Cowboy Bebop - s01e25 - The Real Folk Blues.mkv
18,Cowboy Bebop 22 - Cowboy Funk.mkv,Cowboy Bebop - s01e22 - Cowboy Funk.mkv
19,Cowboy Bebop.txt,Cowboy Bebop.txt
20,Cowboy Bebop 08 - Waltz for Venus.mkv,Cowboy Bebop - s01e08 - Waltz For Venus.mkv
21,Cowboy Bebop 19 - Wild Horses.mkv,Cowboy Bebop - s01e19 - Wild Horses.mkv
22,Cowboy Bebop 02 - Stray Dog Strut.mkv,Cowboy Bebop - s01e02 - Stray Dog Strut.mkv
23,Cowboy Bebop 12 - Jupiter Jazz (Part 1).mkv,Cowboy Bebop - s01e12 - Jupiter Jazz.mkv
24,Cowboy Bebop 04 - Gateway Shuffle.mkv,Cowboy Bebop - s01e04 - Gateway Shuffle.mkv
25,Cowboy Bebop 11 - Toys in the Attic.mkv,Cowboy Bebop - s01e11 - Toys In The Attic.mkv
26,Cowboy Bebop 17 - Mushroom Samba.mkv,Cowboy Bebop - s01e17 - Mushroom Samba.mkv
0,[apopleptic] Cowboy Bebop 22 - Cowboy Funk (10 bit 1080p).mkv,Cowboy Bebop - s01e22 - Cowboy Funk.mkv
1,[apopleptic] Cowboy Bebop 06 - Sympathy for the Devil (10 bit 1080p).mkv,Cowboy Bebop - s01e06 - Sympathy For The Devil.mkv
2,[apopleptic] Cowboy Bebop 23 - Brain Scratch (10 bit 1080p).mkv,Cowboy Bebop - s01e23 - Brain Scratch.mkv
3,[apopleptic] Cowboy Bebop 04 - Gateway Shuffle (10 bit 1080p).mkv,Cowboy Bebop - s01e04 - Gateway Shuffle.mkv
4,[apopleptic] Cowboy Bebop 14 - Bohemian Rhapsody (10 bit 1080p).mkv,Cowboy Bebop - s01e14 - Bohemian Rhapsody.mkv
5,[apopleptic] Cowboy Bebop 17 - Mushroom Samba (10 bit 1080p).mkv,Cowboy Bebop - s01e17 - Mushroom Samba.mkv
6,[apopleptic] Cowboy Bebop - Knockin' On Heaven's Door (2001) (10 bit 1080p).mkv,Cowboy Bebop - Knockin On Heavens Door.mkv
7,[apopleptic] Cowboy Bebop 18 - Speak Like a Child (10 bit 1080p).mkv,Cowboy Bebop - s01e18 - Speak Like A Child.mkv
